key,Menu Option,preMenu_Ann1,preMenu_Ann2,preMenu_Ann3,Menu_Prompt,Menu_NoOfRepeats,Max_ErrorLimit_Reached_Prompt,Max_ErrorLimit_Reached_Action,Max_ErrorLimit_Reached_ActionKey,DTMF Option 1 Action,DTMF Option 1 ActionKey,DTMF Option 1 UData,DTMF Option 2 Action,DTMF Option 2 ActionKey,DTMF Option 2 UData,DTMF Option 3 Action,DTMF Option 3 ActionKey,DTMF Option 3 UData,DTMF Option 4 Action,DTMF Option 4 ActionKey,DTMF Option 4 UData,DTMF Option 5 Action,DTMF Option 5 ActionKey,DTMF Option 5 UData,DTMF Option 6 Action,DTMF Option 6 ActionKey,DTMF Option 6 UData,DTMF Option 7 Action,DTMF Option 7 ActionKey,DTMF Option 7 UData,DTMF Option 8 Action,DTMF Option 8 ActionKey,DTMF Option 8 UData,DTMF Option 9 Action,DTMF Option 9 ActionKey,DTMF Option 9 UData,DTMF Option 0 Action,DTMF Option 0 ActionKey,DTMF Option 0 UData,DTMF Option * Action,DTMF Option * ActionKey,DTMF Option * UData,DTMF Option # Action,DTMF Option # ActionKey,DTMF Option # UData
Claims Global Claims Options,Claims Global Claims Options,,,,US_Claims_Global_Claims_Options,1,US_Claims_ThanksForCalling,disconnect,,queue,US_Claims_FNOL_Property,US Claims FNOL Property,queue,US_Claims_Property,US Claims Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claims Global Options kidnap,Claims Global Options kidnap,,,,US_Claims_Global_Options_kidnap,1,,transfer,18449161310,transfer,18449161310,,transfer,18134623293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claims Service,Claims Service,promt 1,,,US_Claims_Menu_Service,1,US_Claims_SelectionError,queue,US_Claims_Other,queue,US_Claims_Auto,US_Claims_Auto,queue,US_Claims_Property,US_Claims_Property,queue,Workers Comp,Workers Comp,queue,US_Claims_Other,US_Claims_Other,,,,,,,,,,,,,,,,,,,,,,,,
Menu Report Claim Auto,Menu Report Claim Auto,promt 1,,,US_Claims_Menu_ReportClaimAuto,1,US_Claims_SelectionError,queue,US_Claims_FNOL_Auto,transfer,18774600932,Driven Solutions Transfer,transfer,18002797219,Safelite Transfer,queue,US_Claims_FNOL_Auto,US_Claims_FNOL_Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menu Report Claim Menu,Menu Report Claim Menu,promt 1,,,US_Claims_Menu_ReportClaim,1,US_Claims_SelectionError,task,US_Claims_FNOL_Property,menu,Menu Report Claim Auto,Report Claim Auto Menu,queue,US_Claims_FNOL_Property,US_Claims_FNOL_Property,transfer,18665661858, Sedgwick WC Transfer,transfer,18662110180,Report Claim Lynx Transfer,,,,,,,,,,,,,,,,,,,,,,,,
play_info,play_info,promt 1,,,US_Claims_ContactInfo,0,,disconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,menu,play_info,Repeat Info,,,
QBE Claims Chase,QBE Claims Chase,US_Claims_Greeting123,,,US_Claims_Chase,2,,disconnect,disconnect,queue,US_Claims_Other_75,US_Claims_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QBE Claims Main,QBE Claims Main,US_Claims_Greeting,,US_Claims_Miranda,US_Claims_Menu_Main,1,US_Claims_SelectionError,disconnect,US_Claims_ThanksForCalling,menu,Menu Report Claim Menu,Report Claim Menu,menu,Claims Service,Claims Service,transfer,19999991042,Service Center,menu,play_info,Play Contact Info,,,,,,,,,,,,,,,,,,,,,,,,
Service Center,Service Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Claims International,US Claims International,,,,US_Claims_Global_Options,1,,transfer,19543344882,transfer,19543344882,Transfer to 19543344882,transfer,4.41203E+11,Transfer to 441202802074,menu,Claims Global Options kidnap,Claims_Global_Options_kidnap,menu,Claims Global Claims Options,Claims_Global_Claims_Options,,,,,,,,,,,,,,,,,,,,,,,,
